,sp,dw,sr,actual
0,29605.059746375075,37430,37369.31797683425,32076
1,29580.99023884958,37187,37290.672017577934,31832
2,29551.742457456145,37441,37271.03004420058,31769
3,29556.521001837522,37459,37262.78896343208,32252
4,29626.21690801263,37180,37308.874482279636,32012
5,29484.9424601405,37671,37193.849256034846,31988
6,29539.503840110214,37068,37231.707847157384,32168
7,29549.135716814333,37258,37254.949707433225,32096
8,29505.916091986615,37376,37258.85733152904,32162
9,29543.2827986495,37524,37305.20544143206,32292
10,29550.482838900218,37305,37277.66442183559,32477
11,29546.95325957359,37383,37306.91818475704,32165
12,29502.578925980062,37209,37258.66992543954,32366
13,29604.051816175714,36977,37369.31711939308,32059
14,29529.40905829171,37346,37259.36499763392,32221
15,29558.563250042993,37446,37338.00525281999,32091
16,29525.909234877392,37411,37256.18119645729,32159
17,29557.627769080947,37050,37298.406691631455,31979
18,29485.662554158345,37424,37184.20145389273,32354
19,29584.610032059238,37390,37297.47006557338,32118
20,29490.756015798994,36976,37221.78900112619,32151
21,29530.94228202061,37161,37246.17888016196,31942
22,29539.866547577258,37092,37287.673988414885,32095
23,29571.511912669266,37205,37287.05986958048,32186
24,29539.105173197786,36841,37318.5935970537,32200
25,29580.714343571766,37394,37364.362029320655,32154
26,29523.60330306828,37273,37247.67532052827,32048
27,29530.097186330706,37741,37291.36808329357,32359
28,29636.098844191514,36988,37388.98576877099,32184
29,29617.55695377171,37297,37385.71724121329,32094
30,29579.838307175363,37708,37307.052819682845,31916
31,29559.629893846857,37402,37300.44122014024,32140
32,29538.88334759138,37082,37280.28745629476,32053
33,29449.572306933704,37147,37179.045269690745,31792
34,29552.84183092081,37243,37272.902073241254,31939
35,29502.778025992862,37406,37212.3491358416,32073
36,29561.6186882978,37175,37321.938921464556,32280
37,29587.89696722499,37382,37360.79964592313,32204
38,29492.973919462955,37419,37218.20383690897,31857
39,29495.748229806246,36995,37227.00139129284,32016
40,29562.17742037716,37250,37291.07181513373,32390
41,29547.47049392882,37032,37262.57513615854,32068
42,29588.9163281514,37413,37294.89953981911,32185
43,29548.029025740907,37264,37305.5014900121,32232
44,29488.627930821844,36908,37204.916685314594,31925
45,29532.794588409615,36994,37269.61146953615,32346
46,29497.955614265702,37203,37234.62356581632,32096
47,29559.704854823987,37308,37278.89546983433,32079
48,29553.061247081085,36943,37298.80702765258,31917
49,29539.43893452735,37508,37281.06513483129,32186
50,29522.573000490072,37344,37234.382427470395,31834
51,29626.58679336897,37115,37367.89859830071,32230
52,29504.89907909568,37163,37248.450305436316,31991
53,29556.819357460485,37649,37341.56605857435,31996
54,29580.480693036596,37535,37293.32001018508,32222
55,29536.794661588658,36826,37293.58959557457,32287
56,29564.74956872044,37256,37331.52481438227,32033
57,29633.407689274045,37080,37378.88306969557,32186
58,29511.541802209216,37197,37248.235769777464,32220
59,29509.19521966171,36986,37238.58000456764,31961
60,29514.06412847697,37379,37257.08996284157,32127
61,29565.665154102764,36994,37289.815978570216,32419
62,29534.233171130676,37143,37264.44740207115,31949
63,29538.03688769851,37104,37280.02074063942,31982
64,29543.694419078365,37519,37281.70596285553,31912
65,29594.0811631983,37469,37337.81547667244,32241
66,29561.13331036276,37310,37289.868691296695,32095
67,29530.98697062776,37152,37253.80103990173,32058
68,29548.769469853854,37394,37281.91959421583,32147
69,29532.419106305046,37115,37278.711123389294,32141
70,29547.63573791309,37553,37325.87412106553,32227
71,29573.74617040175,37275,37277.23648026517,31999
72,29583.474475854826,37383,37262.76163293692,31978
73,29545.019759767714,37097,37279.512093107456,32454
74,29577.593161745222,37089,37344.48630785905,32358
75,29484.085318487705,37132,37212.18918783709,32112
76,29569.382482808862,37121,37301.59170876799,32248
77,29586.906658723263,37273,37337.01372810828,31926
78,29625.62243047724,37588,37361.5217707472,31932
79,29610.63663487151,37524,37358.17278452506,32108
80,29596.089184176293,37255,37357.90439713014,32246
81,29548.852465817214,37164,37304.85671752804,31979
82,29482.104108982297,37320,37202.10990568676,32287
83,29571.406939003064,37159,37308.6854511824,32133
84,29574.468963062922,37597,37318.91270592304,32095
85,29527.730009443516,37265,37278.25553700947,32251
86,29527.66254893952,37074,37277.13110253232,32069
87,29600.531594291053,37248,37335.21970791803,32303
88,29545.06670997775,37361,37245.614334774626,31853
89,29582.328223889726,37536,37314.54856354042,32280
90,29559.00880652227,37742,37326.70560206449,32169
91,29576.271600611268,37223,37300.97543961667,32064
92,29576.23594364382,37510,37302.20871862594,31646
93,29529.030927062042,37270,37230.42585857886,32075
94,29567.856656258773,36957,37302.957007000456,32030
95,29518.005096474197,37220,37263.137960266984,32072
96,29539.981083486542,37423,37310.37123208861,32256
97,29523.17148272216,37239,37253.61353728022,31975
98,29563.140140471416,37539,37300.0404742508,31839
99,29523.118890150225,37236,37258.64347862428,32271
