,sp,dw,sr,actual
0,53.40402687330489,72,65.349768033918,65
1,53.59383356977962,65,65.43600742462411,59
2,53.43569358632935,42,65.30523161840031,57
3,53.589235902334686,58,65.48333973503783,57
4,53.83396729062879,69,65.70128988514358,54
5,53.31070770424173,67,65.1936518579258,64
6,53.329676522996664,76,65.11263494034203,53
7,53.33018519098321,53,65.14872554302572,60
8,53.269688224996756,73,65.1430951235229,72
9,53.457004448147686,59,65.4037361110496,44
10,53.60287212373022,53,65.44512680593132,43
11,53.34337656254177,68,65.1976903333068,63
12,53.44314152112304,51,65.3585966751854,57
13,53.744578503313825,73,65.65937568228578,49
14,53.41632699573858,70,65.32894427858459,59
15,53.52531949163708,59,65.49348068112079,61
16,53.228036668383616,69,65.11321090701615,58
17,53.46313793406662,65,65.49362072193021,60
18,53.50232171331957,63,65.22703163010225,58
19,53.53607487295936,64,65.37247946796978,57
20,53.42469837088294,75,65.34080644525523,38
21,53.70613712718195,62,65.70302525984025,56
22,53.462351409511925,69,65.50694392845817,56
23,53.52376162753072,59,65.45121208177932,54
24,53.57900840650824,60,65.5661911739453,47
25,53.76279670638065,60,65.82839516926923,51
26,53.26314840996685,75,65.22659671218946,63
27,53.47649699583953,84,65.44990104591884,51
28,53.6024486766511,58,65.63879156385364,50
29,53.48538781024747,61,65.50694556672337,62
30,53.45215769817933,66,65.43918965762433,60
31,53.50161876052327,65,65.49796477197906,68
32,53.563564979347206,68,65.48971745265264,67
33,53.27217423599444,73,65.15133066737434,59
34,53.51367648378846,92,65.40532207663365,46
35,53.26812414023945,86,65.1560981808232,54
36,53.32181609634965,76,65.2120010105756,59
37,53.403516622244744,71,65.31419930034903,52
38,53.469318108033846,70,65.30334324259256,65
39,53.40090723034033,65,65.24711669409835,54
40,53.58610011346219,64,65.45989146513014,52
41,53.465402200219344,73,65.25390753455017,65
42,53.6180618065142,63,65.51664873167827,61
43,53.40180718622911,62,65.34789528082274,56
44,53.171653372447565,62,65.03699838080003,55
45,53.60246833221062,52,65.50317934015429,61
46,53.401543153133495,70,65.38434904525514,56
47,53.52649667276978,65,65.49072416383112,66
48,53.48563896055743,66,65.52026042945276,53
49,53.409934022917525,68,65.2426389787667,50
50,53.420912813329814,59,65.30537734643686,51
51,53.51000587674886,66,65.45308548190876,57
52,53.27125417086483,70,65.15667006798611,63
53,53.356820268150464,52,65.38839851793671,47
54,53.61609322884036,76,65.51215485853595,44
55,53.37252798757234,68,65.27414793661454,54
56,53.61986502353876,59,65.70273388302556,53
57,53.7014223227749,72,65.67199597742852,55
58,53.38272169385196,63,65.27905737952136,56
59,53.43894148140829,76,65.44251886175576,54
60,53.44104635154937,57,65.37363454288611,56
61,53.29046051717009,74,65.16808294337135,42
62,53.36102107227544,70,65.26894476607687,68
63,53.4025937826366,56,65.32619656687261,53
64,53.52453959259171,62,65.46944878814166,52
65,53.39003318667581,68,65.35338533902132,61
66,53.50333158346298,52,65.45815131297276,62
67,53.44185683904776,59,65.21951371422466,63
68,53.46289327285295,70,65.38477559359575,51
69,53.53528284756139,43,65.46018686239145,48
70,53.464719326377384,61,65.43339747711036,46
71,53.563447023450074,66,65.39201368596375,65
72,53.42627585240505,60,65.2939513160081,69
73,53.371111712491334,93,65.13934875936347,61
74,53.66089916733494,68,65.67474908607383,71
75,53.30690665438952,68,65.26923047570085,55
76,53.43490952642598,72,65.30899042450275,65
77,53.62799597785657,67,65.67895429136601,49
78,53.43097243732055,69,65.36597266465891,63
79,53.51040727272745,74,65.4254432211111,58
80,53.697622364096986,60,65.6280645763285,54
81,53.449805612356165,70,65.42095252162946,55
82,53.279734747304985,50,65.21372902866683,70
83,53.41791024498104,68,65.25549860701064,53
84,53.46131312307987,69,65.4580079572827,58
85,53.36900373375237,54,65.25955303887157,52
86,53.30390417393198,82,65.25058322544066,53
87,53.54105493769566,59,65.37682490643299,67
88,53.38677886542031,57,65.25839008193577,54
89,53.4827853908079,78,65.39606080960414,53
90,53.44508110812509,71,65.51042247166122,57
91,53.53136975184503,72,65.32619492673707,58
92,53.470999126377855,80,65.46785543680384,54
93,53.29921384283071,78,65.19163441826417,56
94,53.49417435453349,59,65.40489060657983,63
95,53.40141348574132,57,65.37118332658153,60
96,53.43278716702472,84,65.46350551487896,73
97,53.29855176415766,54,65.23627961502241,63
98,53.31149836660908,67,65.16793841025627,41
99,53.443286095878285,65,65.28614776207968,63
