,sp,dw,sr,actual
0,147.4469259934101,1833,182.79833424051856,151
1,148.043176684824,1761,183.1285840152719,147
2,147.77952780450036,1747,182.88748338125993,137
3,147.98942137884907,1836,183.15077873207755,137
4,148.71403087072386,1913,183.77002738808142,144
5,147.292444051383,1785,182.3679030781005,138
6,147.38153751748666,1804,182.19183247404223,134
7,147.2066455258134,1750,182.13644870244474,146
8,147.1053100743072,1825,182.1765433845464,163
9,147.59682911126055,1793,182.86490466846237,124
10,148.0608027657045,1893,182.98198641002796,116
11,147.31890377035486,1793,182.33235754011022,136
12,147.6123220187683,1835,182.82167301978856,149
13,148.53045290945295,1900,183.62736876085188,127
14,147.45833196686536,1851,182.65340243531213,155
15,147.8417087957939,1818,183.1595989860066,157
16,147.01126736269524,1788,182.1391394541319,129
17,147.7477272320622,1819,183.17911295171905,145
18,147.61669553266688,1849,182.26897751454376,146
19,148.0315396417032,1927,182.93261449204948,129
20,147.5827857444492,1873,182.73218236255627,119
21,148.22419527222036,1863,183.68411728524546,128
22,147.61733813444297,1818,183.1695441992142,142
23,147.92884216265662,1791,183.13932581001768,152
24,148.05995176744747,1879,183.37866706849613,126
25,148.51374343092002,1825,184.0209233988904,141
26,147.0074150261695,1840,182.31901065295483,128
27,147.77324052594963,1866,183.0964256360912,144
28,148.07601440259887,1875,183.6871846020373,131
29,147.69573872355963,1836,183.2698811496428,126
30,147.545213061178,1822,182.9276437069964,147
31,147.76735807478977,1858,183.15193049253634,152
32,147.96017568887612,1887,183.1274436548303,144
33,147.09674066583344,1739,182.1738775348402,154
34,147.96500831105675,1859,183.06158520205858,119
35,147.30209444788392,1822,182.3121368360427,136
36,147.26528002559377,1818,182.43935645410764,143
37,147.4453136303656,1867,182.58689405691595,143
38,147.76031417437184,1846,182.69926847006502,151
39,147.4652780187489,1843,182.50814401925496,143
40,148.0459415499376,1808,183.11327696815903,126
41,147.78271169471492,1841,182.65530918970722,145
42,148.2226141376955,1803,183.34035774963908,134
43,147.56590036768856,1829,182.8151822244642,144
44,146.79655225474903,1857,181.90096323739334,143
45,148.09029914382302,1834,183.29438721566413,144
46,147.4971366181511,1856,182.81059557571405,146
47,147.80524038906324,1889,183.10675513090106,162
48,147.89496572346957,1818,183.35527024369375,131
49,147.45673101929478,1814,182.39618487215316,141
50,147.5883046440022,1849,182.71306430488715,139
51,147.7516238457442,1821,182.92305256337323,142
52,147.22099163839155,1745,182.3258704937027,130
53,147.55239642341516,1792,183.048203315247,136
54,148.096865633779,1815,183.22812136082183,107
55,147.50134714420437,1891,182.59262216803643,128
56,148.01231452121368,1848,183.59862070804496,140
57,148.3341995170837,1783,183.6316025084997,125
58,147.58898208026665,1814,182.7046320301039,143
59,147.70200424122754,1803,183.09680835613742,146
60,147.72341868736657,1833,182.9108008888928,137
61,147.47903428781774,1849,182.48520784603144,111
62,147.46969642648875,1829,182.63009007085512,157
63,147.32705235883114,1836,182.6044642564091,147
64,147.9477386622762,1877,183.20938394164045,136
65,147.39645649472112,1887,182.64880846284416,151
66,147.76845121303717,1837,183.0359469251837,167
67,147.70914108760957,1776,182.49552912454206,130
68,147.69140670184652,1813,182.9173086597338,134
69,147.83660313780894,1737,183.05357361171775,144
70,147.6934672585403,1846,182.9326107661219,110
71,147.92721187072866,1810,182.88326528287877,126
72,147.52680103846953,1763,182.56050470939846,136
73,147.38464706672144,1829,182.15556450084378,160
74,148.1384039362729,1893,183.62163358688107,161
75,147.24702459707018,1873,182.52610376492544,142
76,147.75236675665855,1870,182.82741803044914,158
77,148.01715483041053,1842,183.5641329044267,160
78,147.61335304388646,1853,182.8251134144896,162
79,147.8672415514674,1826,183.04399287569404,155
80,148.4607154789565,1871,183.75620817648652,145
81,147.74434672126804,1916,183.05967310084836,136
82,147.34909840208866,1764,182.4645648305804,146
83,147.6770671151721,1820,182.67557901133233,143
84,147.82726511160493,1842,183.11977899368222,139
85,147.378684075771,1819,182.46306734370813,139
86,147.19107486085508,1845,182.4263569364989,145
87,147.82397380360962,1871,182.77845843769182,151
88,147.5394969514732,1748,182.6144085192207,118
89,147.6174890817373,1862,182.802156135669,144
90,147.74284890083757,1816,183.3552993372375,138
91,147.84778420359,1826,182.6273998429621,138
92,147.77668649244129,1774,183.0872485105993,134
93,147.18906652173337,1943,182.32321776165654,126
94,147.6278161281672,1856,182.80292993888457,147
95,147.53254034765524,1793,182.8300972596257,141
96,147.5871394609144,1903,183.0011128812793,167
97,147.30336294182288,1787,182.57427545885415,146
98,147.22449684787804,1836,182.18991140447406,114
99,147.79957442079882,1850,182.690121663718,140
