,dwa,dwa2
0,2,0
1,4,0
2,2,0
3,2,0
4,5,1
5,3,0
6,2,0
7,5,0
8,6,0
9,2,0
10,0,0
11,6,1
12,5,2
13,6,0
14,2,0
15,1,0
16,0,0
17,2,0
18,3,0
19,4,0
20,4,0
21,3,0
22,5,0
23,3,0
24,3,0
25,5,0
26,6,0
27,12,3
28,1,0
29,2,0
30,2,0
31,4,0
32,6,0
33,3,0
34,2,0
35,5,0
36,5,0
37,4,0
38,3,0
39,6,0
40,3,0
41,1,0
42,6,0
43,3,0
44,2,0
45,3,0
46,6,1
47,3,0
48,7,0
49,2,0
50,5,0
51,2,0
52,4,0
53,4,0
54,4,0
55,3,0
56,3,0
57,7,1
58,3,0
59,4,1
60,2,0
61,7,1
62,6,1
63,1,0
64,7,0
65,7,1
66,5,0
67,4,0
68,3,0
69,3,1
70,5,0
71,5,0
72,3,0
73,9,1
74,1,0
75,1,0
76,4,0
77,4,1
78,4,0
79,2,0
80,1,0
81,4,0
82,3,0
83,2,0
84,6,0
85,1,0
86,1,0
87,4,0
88,2,0
89,9,0
90,4,0
91,6,0
92,6,0
93,6,1
94,5,0
95,2,0
96,2,0
97,3,0
98,7,0
99,1,0
