,sp,dw,sr,actual
0,32625.310234606008,41878,41797.106470592036,35662
1,32627.748979449585,41606,41741.50412241712,35444
2,32600.939426781228,41772,41721.23229753521,35283
3,32589.184086624253,41828,41687.77742249357,35670
4,32662.808705859006,41534,41738.8713093139,35530
5,32518.45410756753,42036,41608.439950136344,35397
6,32582.10921451802,41395,41659.62612454267,35575
7,32585.385263593223,41655,41683.10750596054,35601
8,32550.928811575537,41925,41698.95690990129,35658
9,32604.324247243338,41906,41756.285538917335,35760
10,32590.26561919105,41766,41711.945796512,36131
11,32581.546326853,41890,41734.48052063408,35669
12,32526.25161910852,41515,41675.101215719216,35862
13,32655.063331775284,41473,41808.5532524679,35636
14,32557.63049105966,41912,41688.90928557083,35827
15,32607.072255327173,41905,41783.08218878368,35650
16,32575.648450476878,41873,41691.9091943604,35620
17,32608.2604017737,41570,41738.417305197625,35468
18,32503.228777639873,41847,41590.54694709184,35780
19,32622.88693042556,41821,41721.93989914623,35637
20,32532.767100472105,41229,41653.433171317156,35616
21,32552.00669104191,41530,41664.40953589019,35467
22,32573.499412883968,41540,41709.456088285195,35562
23,32623.18402812628,41556,41725.96139195293,35617
24,32579.136382012694,41256,41747.82057073684,35713
25,32619.42404856111,41680,41784.72558373796,35567
26,32563.274280908063,41646,41680.50576347694,35486
27,32568.950509073835,42147,41726.69623275297,35990
28,32674.93291419864,41363,41834.233046020585,35716
29,32648.35989202966,41768,41819.211110040145,35611
30,32602.72498640315,42157,41726.723927121915,35422
31,32609.446737463342,41760,41748.58296555557,35585
32,32566.075670397673,41433,41697.257231934185,35526
33,32493.671175762414,41619,41611.58004593586,35335
34,32592.81402032819,41700,41704.33252476828,35527
35,32540.701984445517,41843,41636.15076631208,35670
36,32593.66888825916,41654,41742.32592135672,35757
37,32621.830517550574,41861,41773.30964798788,35634
38,32513.427103767146,41839,41629.98494737012,35371
39,32527.31018243933,41369,41658.523267198245,35576
40,32598.979289271614,41558,41710.38932255813,35929
41,32595.664593001165,41459,41708.83342234163,35611
42,32635.805597189184,41830,41735.75506999062,35777
43,32580.015582641376,41556,41729.38689204563,35631
44,32517.3401177462,41267,41620.14543502958,35395
45,32575.83030006317,41412,41714.43806719708,35902
46,32541.292994044372,41567,41651.67853265945,35545
47,32605.812105422036,41702,41720.46620033801,35542
48,32613.90319839145,41427,41754.2167954416,35394
49,32560.993422232055,41987,41689.75984413269,35702
50,32558.50650681759,41811,41658.12736295363,35390
51,32670.708828267954,41655,41789.59853838244,35680
52,32529.768982546957,41589,41672.667240800125,35523
53,32601.037642297535,42127,41793.64868758603,35526
54,32606.724839501578,41986,41714.26659296239,35744
55,32570.010577398643,41281,41713.39175620586,35822
56,32605.842324792942,41760,41763.536874089004,35579
57,32671.90770770172,41502,41813.51355836004,35623
58,32572.738893923946,41651,41705.039796410696,35765
59,32553.37871931323,41520,41679.4007956366,35379
60,32572.601971266755,41821,41696.917457373675,35631
61,32621.11627875911,41465,41737.5687628222,35969
62,32587.66753161461,41635,41698.75733413734,35383
63,32557.546247373954,41516,41703.173006985926,35536
64,32598.817345755495,42068,41722.10913096342,35385
65,32645.641604037122,42022,41770.615642699144,35589
66,32595.396398916793,41805,41725.534804591625,35708
67,32570.090005543243,41581,41672.75342248311,35547
68,32583.166709445497,41831,41701.16252416811,35706
69,32580.058783485852,41568,41720.582719544356,35761
70,32587.186926284438,42039,41751.98096894153,35685
71,32611.53861837888,41758,41702.124442607026,35389
72,32618.34580523449,41731,41696.46428396945,35477
73,32564.756287162512,41338,41673.06403107429,35858
74,32617.569120503496,41476,41781.38206659801,35810
75,32523.686188891734,41573,41631.08907777526,35558
76,32609.700176580365,41552,41727.346749964985,35719
77,32619.50075195701,41759,41758.23996734496,35370
78,32655.62055448057,41985,41791.97754724134,35557
79,32670.109740034197,42080,41814.98684573301,35573
80,32641.841490364124,41679,41816.516722948254,35779
81,32605.4181067938,41788,41754.38744105595,35550
82,32512.988096311547,41665,41621.36128022862,35838
83,32605.57569995255,41694,41738.67199230125,35731
84,32614.73081741311,41943,41749.09269095314,35623
85,32565.538185937297,41663,41710.844703038914,35846
86,32574.9287417736,41597,41721.94023567144,35684
87,32660.432065620098,41772,41776.70825346092,35722
88,32594.84194711553,41808,41678.97651605586,35286
89,32619.335556800805,42012,41750.96171767603,35771
90,32592.415829132085,42107,41769.14573499734,35681
91,32619.00243301751,41545,41729.8373787178,35616
92,32614.113981495066,41836,41727.772529806156,35234
93,32559.597886309173,41668,41653.828655698686,35585
94,32613.055546474832,41371,41735.161244796174,35507
95,32557.345430778947,41643,41690.410326693294,35512
96,32569.961532412774,41769,41738.133371606105,35847
97,32554.59258926859,41639,41690.352970372216,35587
98,32605.952370863677,41860,41730.23554522928,35422
99,32563.08753336565,41654,41695.475905030704,35890
